Unique_ID,Ticker,Company Name,Exchange,Fiscal_Year,Fiscal_Quarter,Quarter_End_Date,Currency,Q_Revenue,Q_R&D,Q_SG&A,Q_Cash,Market_Cap,Is_Historical_Baseline,Reporting_Standard,USD_Converted_Flag,Source,Fetch_Date
CMP-001,ON40.MU,"Ono Pharmaceutical Co., Ltd.",Munich Stock Exchange,2025.0,2025Q4,31/03/2026,USD,813.43,291.05,210.92,1623.77,6.26,True,IFRS,True,Manual_Search,14/05/2026
CMP-001,ON40.MU,"Ono Pharmaceutical Co., Ltd.",Munich Stock Exchange,2025.0,2025Q3,31/12/2025,USD,958.32,210.43,215.06,1290.44,5.53,True,IFRS,True,Manual_Search,14/05/2026
CMP-001,ON40.MU,"Ono Pharmaceutical Co., Ltd.",Munich Stock Exchange,2025.0,2025Q2,30/09/2025,USD,887.76,257.44,208.36,1247.11,4.6,True,IFRS,True,Manual_Search,14/05/2026
CMP-001,ON40.MU,"Ono Pharmaceutical Co., Ltd.",Munich Stock Exchange,2025.0,2025Q1,30/06/2025,USD,873.62,248.33,212.94,952.09,4.42,True,IFRS,True,Manual_Search,14/05/2026
CMP-002,1LLY.MI,Eli Lilly & Co.,Milan Stock Exchange,2026.0,2026Q1,31/03/2026,USD,19799.0,3310.4,2934.3,5282.0,826.7,False,GAAP,False,Manual_Search,14/05/2026
CMP-002,1LLY.MI,Eli Lilly & Co.,Milan Stock Exchange,2025.0,2025Q4,31/12/2025,USD,19292.0,4331.0,3132.0,7373.0,947.27,True,GAAP,True,Browser_Gold_Standard,14/05/2026
CMP-002,1LLY.MI,Eli Lilly & Co.,Milan Stock Exchange,2025.0,2025Q3,30/09/2025,USD,17600.8,3465.7,2740.7,9791.9,751.21,True,GAAP,False,Manual_Search,14/05/2026
CMP-002,1LLY.MI,Eli Lilly & Co.,Milan Stock Exchange,2025.0,2025Q2,30/06/2025,USD,15557.7,3336.1,2753.0,3375.9,692.46,True,GAAP,False,Manual_Search,14/05/2026
CMP-002,1LLY.MI,Eli Lilly & Co.,Milan Stock Exchange,2025.0,2025Q1,31/03/2025,USD,12729.1,2754.2,2468.3,3093.3,653.45,True,GAAP,False,Manual_Search,14/05/2026
CMP-003,JNJ,Johnson & Johnson,NYSE,2026.0,2026Q1,29/03/2026,USD,24062.0,3527.0,6034.0,21688.0,585.05,False,US-GAAP,False,SEC_EDGAR_AUTO,14/05/2026
CMP-003,JNJ,Johnson & Johnson,NYSE,2025.0,2025Q4,28/12/2025,USD,24564.0,4586.0,6500.0,20100.0,496.5,True,US-GAAP,True,Browser_Gold_Standard,14/05/2026
CMP-003,JNJ,Johnson & Johnson,NYSE,2025.0,2025Q3,28/09/2025,USD,23993.0,3672.0,5922.0,18231.0,448.85,True,US-GAAP,False,SEC_EDGAR_AUTO,14/05/2026
CMP-003,JNJ,Johnson & Johnson,NYSE,2025.0,2025Q2,29/06/2025,USD,22818.0,3370.5,5500.5,18577.0,368.5,True,US-GAAP,False,SEC_EDGAR_AUTO,14/05/2026
CMP-003,JNJ,Johnson & Johnson,NYSE,2025.0,2025Q1,30/03/2025,USD,21893.0,3225.0,5112.0,38474.0,358.88,True,US-GAAP,False,SEC_EDGAR_AUTO,14/05/2026
CMP-004,ABBV,Abbvie,NYSE,2026.0,2026Q1,31/03/2026,USD,15002.0,2472.0,3578.0,9391.0,362.17,False,US-GAAP,False,SEC_EDGAR_AUTO,14/05/2026
CMP-004,ABBV,Abbvie,NYSE,2025.0,2025Q4,31/12/2025,USD,14869.0,2579.0,3895.0,5229.0,389.25,True,US-GAAP,True,Browser_Gold_Standard,14/05/2026
CMP-004,ABBV,Abbvie,NYSE,2025.0,2025Q3,30/09/2025,USD,15776.0,2319.0,3569.0,5629.0,397.27,True,US-GAAP,False,SEC_EDGAR_AUTO,14/05/2026
CMP-004,ABBV,Abbvie,NYSE,2025.0,2025Q2,30/06/2025,USD,14383.0,2099.0,3273.0,6467.0,323.87,True,US-GAAP,False,SEC_EDGAR_AUTO,14/05/2026
CMP-004,ABBV,Abbvie,NYSE,2025.0,2025Q1,31/03/2025,USD,13343.0,2067.0,3293.0,5175.0,316.97,True,US-GAAP,False,SEC_EDGAR_AUTO,14/05/2026
CMP-005,ROG.SW,Roche,SIX Swiss Exchange,2026.0,2026Q1,31/03/2026,USD,16635.86,,,,219.08,False,IFRS,True,Manual_Search,14/05/2026
CMP-005,ROG.SW,Roche,SIX Swiss Exchange,2025.0,2025Q4,31/12/2025,USD,18993.0,4276.0,3228.0,9226.0,220.53,True,IFRS,True,Browser_Gold_Standard,14/05/2026
CMP-005,ROG.SW,Roche,SIX Swiss Exchange,2025.0,2025Q3,30/09/2025,USD,16857.34,,,,192.79,True,IFRS,True,Manual_Search,14/05/2026
CMP-005,ROG.SW,Roche,SIX Swiss Exchange,2025.0,2025Q2,30/06/2025,USD,17519.52,3771.94,3999.07,8536.02,173.8,True,IFRS,True,Manual_Search,14/05/2026
CMP-005,ROG.SW,Roche,SIX Swiss Exchange,2025.0,2025Q1,31/03/2025,USD,17447.2,,,,175.0,True,IFRS,True,Manual_Search,14/05/2026
CMP-006,AZN,AstraZeneca,NYSE,2026.0,2026Q1,31/03/2026,USD,15288.0,3492.0,5061.0,7560.0,314.56,False,GAAP,False,yfinance_fallback,14/05/2026
CMP-006,AZN,AstraZeneca,NYSE,2025.0,2025Q4,31/12/2025,USD,15503.0,3862.0,5492.0,5711.0,291.5,True,IFRS-FULL,True,Browser_Gold_Standard,14/05/2026
CMP-006,AZN,AstraZeneca,NYSE,2025.0,2025Q3,30/09/2025,USD,15191.0,3663.0,5233.0,8143.0,262.43,True,GAAP,False,yfinance_fallback,14/05/2026
CMP-006,AZN,AstraZeneca,NYSE,2025.0,2025Q2,30/06/2025,USD,14457.0,3548.0,5007.0,7058.0,211.72,True,GAAP,False,yfinance_fallback,14/05/2026
CMP-006,AZN,AstraZeneca,NYSE,2025.0,2025Q1,31/03/2025,USD,13588.0,3159.0,4627.0,5230.0,208.7,True,GAAP,False,yfinance_fallback,14/05/2026
CMP-007,NVS,Novartis AG,NYSE,2026.0,2026Q1,31/03/2026,USD,13524.0,2740.0,3140.0,6877.0,291.63,False,GAAP,False,yfinance_fallback,14/05/2026
CMP-007,NVS,Novartis AG,NYSE,2025.0,2025Q4,31/12/2025,USD,13336.0,3163.0,3440.0,11435.0,263.45,True,IFRS-FULL,True,Browser_Gold_Standard,14/05/2026
CMP-007,NVS,Novartis AG,NYSE,2025.0,2025Q3,30/09/2025,USD,14358.0,2944.0,3308.0,9556.0,244.89,True,GAAP,False,yfinance_fallback,14/05/2026
CMP-007,NVS,Novartis AG,NYSE,2025.0,2025Q2,30/06/2025,USD,14836.0,2727.0,3442.0,6656.0,225.73,True,GAAP,False,yfinance_fallback,14/05/2026
CMP-007,NVS,Novartis AG,NYSE,2025.0,2025Q1,31/03/2025,USD,13620.0,2366.0,3058.0,7066.0,196.01,True,GAAP,False,yfinance_fallback,14/05/2026
CMP-008,MRK,Merck & Co,NYSE,2026.0,2026Q1,31/03/2026,USD,16286.0,12592.0,2700.0,5327.0,298.48,False,US-GAAP,False,SEC_EDGAR_AUTO,14/05/2026
CMP-008,MRK,Merck & Co,NYSE,2025.0,2025Q4,31/12/2025,USD,16400.0,3886.0,2898.0,14565.0,266.91,True,US-GAAP,True,Browser_Gold_Standard,14/05/2026
CMP-008,MRK,Merck & Co,NYSE,2025.0,2025Q3,30/09/2025,USD,17276.0,4234.0,2633.0,18169.0,215.86,True,US-GAAP,False,SEC_EDGAR_AUTO,14/05/2026
CMP-008,MRK,Merck & Co,NYSE,2025.0,2025Q2,30/06/2025,USD,15667.5,3834.5,2601.0,8007.0,194.81,True,US-GAAP,False,SEC_EDGAR_AUTO,14/05/2026
